samples,elapsed_ns,ns_per_sample,time,input,output
200000,17590576,87.953,19.999900,-0.050232,-0.158875
200000,17529680,87.648,19.999900,-0.050232,-0.158875
200000,17682592,88.413,19.999900,-0.050232,-0.158875
200000,17527712,87.639,19.999900,-0.050232,-0.158875
200000,17511376,87.557,19.999900,-0.050232,-0.158875
200000,17505152,87.526,19.999900,-0.050232,-0.158875
200000,17504992,87.525,19.999900,-0.050232,-0.158875
200000,17511216,87.556,19.999900,-0.050232,-0.158875
200000,17512128,87.561,19.999900,-0.050232,-0.158875
200000,17505040,87.525,19.999900,-0.050232,-0.158875
median,17511752.0,87.559,,,
