samples,elapsed_ns,ns_per_sample,time,input,output
200000,2706320,13.532,19.999900,-0.050232,-0.158875
200000,2700128,13.501,19.999900,-0.050232,-0.158875
200000,2706336,13.532,19.999900,-0.050232,-0.158875
200000,2714032,13.570,19.999900,-0.050232,-0.158875
200000,2700128,13.501,19.999900,-0.050232,-0.158875
200000,2706336,13.532,19.999900,-0.050232,-0.158875
200000,2706384,13.532,19.999900,-0.050232,-0.158875
200000,2700112,13.501,19.999900,-0.050232,-0.158875
200000,2706384,13.532,19.999900,-0.050232,-0.158875
200000,2706368,13.532,19.999900,-0.050232,-0.158875
median,2706336.0,13.532,,,
