samples,elapsed_ns,ns_per_sample,time,input,output
200000,2945888,14.729,19.999900,-0.050232,-0.158875
200000,2900128,14.501,19.999900,-0.050232,-0.158875
200000,2920112,14.601,19.999900,-0.050232,-0.158875
200000,2955168,14.776,19.999900,-0.050232,-0.158875
200000,2906336,14.532,19.999900,-0.050232,-0.158875
200000,2900128,14.501,19.999900,-0.050232,-0.158875
200000,2906336,14.532,19.999900,-0.050232,-0.158875
200000,2906336,14.532,19.999900,-0.050232,-0.158875
200000,2906336,14.532,19.999900,-0.050232,-0.158875
200000,2900128,14.501,19.999900,-0.050232,-0.158875
median,2906336.0,14.532,,,
