samples,elapsed_ns,ns_per_sample,time,input,output
200000,12913232,64.566,19.999900,-0.050232,-0.158875
200000,13660880,68.304,19.999900,-0.050232,-0.158875
200000,13480016,67.400,19.999900,-0.050232,-0.158875
200000,12827696,64.138,19.999900,-0.050232,-0.158875
200000,12833264,64.166,19.999900,-0.050232,-0.158875
200000,12872752,64.364,19.999900,-0.050232,-0.158875
200000,12825120,64.126,19.999900,-0.050232,-0.158875
200000,14483568,72.418,19.999900,-0.050232,-0.158875
200000,28687216,143.436,19.999900,-0.050232,-0.158875
200000,12819808,64.099,19.999900,-0.050232,-0.158875
median,12892992.0,64.465,,,
