samples,elapsed_ns,ns_per_sample,time,input,output
200000,2986128,14.931,19.999900,-0.050232,-0.158875
200000,2773040,13.865,19.999900,-0.050232,-0.158875
200000,6778720,33.894,19.999900,-0.050232,-0.158875
200000,2830192,14.151,19.999900,-0.050232,-0.158875
200000,2766800,13.834,19.999900,-0.050232,-0.158875
200000,2773040,13.865,19.999900,-0.050232,-0.158875
200000,2773056,13.865,19.999900,-0.050232,-0.158875
200000,2773056,13.865,19.999900,-0.050232,-0.158875
200000,2766800,13.834,19.999900,-0.050232,-0.158875
200000,2773760,13.869,19.999900,-0.050232,-0.158875
median,2773056.0,13.865,,,
