samples,elapsed_ns,ns_per_sample,time,input,output
200000,14773232,73.866,19.999900,-0.050232,-0.158875
200000,14228144,71.141,19.999900,-0.050232,-0.158875
200000,14219008,71.095,19.999900,-0.050232,-0.158875
200000,14225216,71.126,19.999900,-0.050232,-0.158875
200000,14218960,71.095,19.999900,-0.050232,-0.158875
200000,14225216,71.126,19.999900,-0.050232,-0.158875
200000,27455520,137.278,19.999900,-0.050232,-0.158875
200000,14225248,71.126,19.999900,-0.050232,-0.158875
200000,14219008,71.095,19.999900,-0.050232,-0.158875
200000,14575888,72.879,19.999900,-0.050232,-0.158875
median,14225232.0,71.126,,,
