time,input,output
0.000000000,0.000000000,0.000000000
0.000100000,0.050231934,0.003356934
0.000200000,0.100219727,0.017395020
0.000300000,0.149902344,0.045471191
0.000400000,0.198913574,0.085144043
0.000500000,0.247192383,0.132141113
0.000600000,0.294494629,0.182556152
0.000700000,0.340576172,0.233459473
0.000800000,0.385375977,0.283264160
0.000900000,0.428649902,0.331237793
0.001000000,0.470214844,0.377258301
0.001100000,0.509887695,0.421203613
0.001200000,0.547607422,0.463195801
0.001300000,0.583129883,0.503112793
0.001400000,0.616394043,0.541076660
0.001500000,0.647155762,0.576843262
0.001600000,0.675415039,0.610412598
0.001700000,0.700988770,0.641662598
0.001800000,0.723815918,0.670349121
0.001900000,0.743774414,0.696472168
0.002000000,0.760803223,0.719787598
0.002100000,0.774841309,0.740295410
0.002200000,0.785827637,0.757873535
0.002300000,0.793640137,0.772399902
0.002400000,0.798400879,0.783874512
0.002500000,0.799987793,0.792297363
0.002600000,0.798400879,0.797668457
0.002700000,0.793640137,0.799865723
0.002800000,0.785827637,0.798889160
0.002900000,0.774841309,0.794738770
0.003000000,0.760803223,0.787414551
0.003100000,0.743774414,0.777038574
0.003200000,0.723815918,0.763610840
0.003300000,0.700988770,0.747131348
0.003400000,0.675415039,0.727722168
0.003500000,0.647155762,0.705383301
0.003600000,0.616394043,0.680236816
0.003700000,0.583129883,0.652404785
0.003800000,0.547607422,0.622131348
0.003900000,0.509887695,0.589416504
0.004000000,0.470214844,0.554382324
0.004100000,0.428649902,0.517028809
0.004200000,0.385375977,0.477600098
0.004300000,0.340576172,0.436340332
0.004400000,0.294494629,0.393371582
0.004500000,0.247192383,0.348937988
0.004600000,0.198913574,0.303039551
0.004700000,0.149902344,0.255920410
0.004800000,0.100219727,0.207824707
0.004900000,0.050231934,0.158874512
0.005000000,0.000000000,0.109313965
0.005100000,-0.050231934,0.059387207
0.005200000,-0.100219727,0.009216309
0.005300000,-0.149902344,-0.040954590
0.005400000,-0.198913574,-0.091003418
0.005500000,-0.247192383,-0.140686035
0.005600000,-0.294494629,-0.189880371
0.005700000,-0.340576172,-0.238342285
0.005800000,-0.385375977,-0.285827637
0.005900000,-0.428649902,-0.332214355
0.006000000,-0.470214844,-0.377258301
0.006100000,-0.509887695,-0.420837402
0.006200000,-0.547607422,-0.462707520
0.006300000,-0.583129883,-0.502746582
0.006400000,-0.616394043,-0.540832520
0.006500000,-0.647155762,-0.576721191
0.006600000,-0.675415039,-0.610412598
0.006700000,-0.700988770,-0.641662598
0.006800000,-0.723815918,-0.670349121
0.006900000,-0.743774414,-0.696472168
0.007000000,-0.760803223,-0.719787598
0.007100000,-0.774841309,-0.740295410
0.007200000,-0.785827637,-0.757873535
0.007300000,-0.793640137,-0.772399902
0.007400000,-0.798400879,-0.783874512
0.007500000,-0.799987793,-0.792297363
0.007600000,-0.798400879,-0.797668457
0.007700000,-0.793640137,-0.799865723
0.007800000,-0.785827637,-0.798889160
0.007900000,-0.774841309,-0.794738770
0.008000000,-0.760803223,-0.787414551
0.008100000,-0.743774414,-0.777038574
0.008200000,-0.723815918,-0.763610840
0.008300000,-0.700988770,-0.747131348
0.008400000,-0.675415039,-0.727722168
0.008500000,-0.647155762,-0.705383301
0.008600000,-0.616394043,-0.680236816
0.008700000,-0.583129883,-0.652404785
0.008800000,-0.547607422,-0.622131348
0.008900000,-0.509887695,-0.589416504
0.009000000,-0.470214844,-0.554382324
0.009100000,-0.428649902,-0.517028809
0.009200000,-0.385375977,-0.477600098
0.009300000,-0.340576172,-0.436340332
0.009400000,-0.294494629,-0.393371582
0.009500000,-0.247192383,-0.348937988
0.009600000,-0.198913574,-0.303039551
0.009700000,-0.149902344,-0.255920410
0.009800000,-0.100219727,-0.207824707
0.009900000,-0.050231934,-0.158874512
0.010000000,0.000000000,-0.109313965
0.010100000,0.050231934,-0.059387207
0.010200000,0.100219727,-0.009216309
0.010300000,0.149902344,0.040954590
0.010400000,0.198913574,0.091003418
0.010500000,0.247192383,0.140686035
0.010600000,0.294494629,0.189880371
0.010700000,0.340576172,0.238342285
0.010800000,0.385375977,0.285827637
0.010900000,0.428649902,0.332214355
0.011000000,0.470214844,0.377258301
0.011100000,0.509887695,0.420837402
0.011200000,0.547607422,0.462707520
0.011300000,0.583129883,0.502746582
0.011400000,0.616394043,0.540832520
0.011500000,0.647155762,0.576721191
0.011600000,0.675415039,0.610412598
0.011700000,0.700988770,0.641662598
0.011800000,0.723815918,0.670349121
0.011900000,0.743774414,0.696472168
0.012000000,0.760803223,0.719787598
0.012100000,0.774841309,0.740295410
0.012200000,0.785827637,0.757873535
0.012300000,0.793640137,0.772399902
0.012400000,0.798400879,0.783874512
0.012500000,0.799987793,0.792297363
0.012600000,0.798400879,0.797668457
0.012700000,0.793640137,0.799865723
0.012800000,0.785827637,0.798889160
0.012900000,0.774841309,0.794738770
0.013000000,0.760803223,0.787414551
0.013100000,0.743774414,0.777038574
0.013200000,0.723815918,0.763610840
0.013300000,0.700988770,0.747131348
0.013400000,0.675415039,0.727722168
0.013500000,0.647155762,0.705383301
0.013600000,0.616394043,0.680236816
0.013700000,0.583129883,0.652404785
0.013800000,0.547607422,0.622131348
0.013900000,0.509887695,0.589416504
0.014000000,0.470214844,0.554382324
0.014100000,0.428649902,0.517028809
0.014200000,0.385375977,0.477600098
0.014300000,0.340576172,0.436340332
0.014400000,0.294494629,0.393371582
0.014500000,0.247192383,0.348937988
0.014600000,0.198913574,0.303039551
0.014700000,0.149902344,0.255920410
0.014800000,0.100219727,0.207824707
0.014900000,0.050231934,0.158874512
0.015000000,0.000000000,0.109313965
0.015100000,-0.050231934,0.059387207
0.015200000,-0.100219727,0.009216309
0.015300000,-0.149902344,-0.040954590
