time,input,output
0.000000000,1.000000000,0.067443848
0.000100000,1.000000000,0.279479980
0.000200000,1.000000000,0.561340332
0.000300000,1.000000000,0.796081543
0.000400000,1.000000000,0.947937012
0.000500000,1.000000000,1.024719238
0.000600000,1.000000000,1.049743652
0.000700000,1.000000000,1.046691895
0.000800000,1.000000000,1.032775879
0.000900000,1.000000000,1.018249512
0.001000000,1.000000000,1.007385254
0.001100000,1.000000000,1.000915527
0.001200000,1.000000000,0.997985840
0.001300000,1.000000000,0.997375488
0.001400000,1.000000000,0.997863770
0.001500000,1.000000000,0.998596191
0.001600000,1.000000000,0.999328613
0.001700000,1.000000000,0.999816895
0.001800000,1.000000000,1.000061035
0.001900000,1.000000000,1.000183105
0.002000000,1.000000000,1.000183105
0.002100000,1.000000000,1.000183105
0.002200000,1.000000000,1.000183105
0.002300000,1.000000000,1.000183105
0.002400000,1.000000000,1.000183105
0.002500000,1.000000000,1.000183105
0.002600000,1.000000000,1.000183105
0.002700000,1.000000000,1.000183105
0.002800000,1.000000000,1.000183105
0.002900000,1.000000000,1.000183105
0.003000000,1.000000000,1.000183105
0.003100000,1.000000000,1.000183105
0.003200000,1.000000000,1.000183105
0.003300000,1.000000000,1.000183105
0.003400000,1.000000000,1.000183105
0.003500000,1.000000000,1.000183105
0.003600000,1.000000000,1.000183105
0.003700000,1.000000000,1.000183105
0.003800000,1.000000000,1.000183105
0.003900000,1.000000000,1.000183105
0.004000000,1.000000000,1.000183105
0.004100000,1.000000000,1.000183105
0.004200000,1.000000000,1.000183105
0.004300000,1.000000000,1.000183105
0.004400000,1.000000000,1.000183105
0.004500000,1.000000000,1.000183105
0.004600000,1.000000000,1.000183105
0.004700000,1.000000000,1.000183105
0.004800000,1.000000000,1.000183105
0.004900000,1.000000000,1.000183105
0.005000000,1.000000000,1.000183105
0.005100000,1.000000000,1.000183105
0.005200000,1.000000000,1.000183105
0.005300000,1.000000000,1.000183105
0.005400000,1.000000000,1.000183105
0.005500000,1.000000000,1.000183105
0.005600000,1.000000000,1.000183105
0.005700000,1.000000000,1.000183105
0.005800000,1.000000000,1.000183105
0.005900000,1.000000000,1.000183105
0.006000000,1.000000000,1.000183105
0.006100000,1.000000000,1.000183105
0.006200000,1.000000000,1.000183105
0.006300000,1.000000000,1.000183105
0.006400000,1.000000000,1.000183105
0.006500000,1.000000000,1.000183105
0.006600000,1.000000000,1.000183105
0.006700000,1.000000000,1.000183105
0.006800000,1.000000000,1.000183105
0.006900000,1.000000000,1.000183105
0.007000000,1.000000000,1.000183105
0.007100000,1.000000000,1.000183105
0.007200000,1.000000000,1.000183105
0.007300000,1.000000000,1.000183105
0.007400000,1.000000000,1.000183105
0.007500000,1.000000000,1.000183105
0.007600000,1.000000000,1.000183105
0.007700000,1.000000000,1.000183105
0.007800000,1.000000000,1.000183105
0.007900000,1.000000000,1.000183105
0.008000000,1.000000000,1.000183105
0.008100000,1.000000000,1.000183105
0.008200000,1.000000000,1.000183105
0.008300000,1.000000000,1.000183105
0.008400000,1.000000000,1.000183105
0.008500000,1.000000000,1.000183105
0.008600000,1.000000000,1.000183105
0.008700000,1.000000000,1.000183105
0.008800000,1.000000000,1.000183105
0.008900000,1.000000000,1.000183105
0.009000000,1.000000000,1.000183105
0.009100000,1.000000000,1.000183105
0.009200000,1.000000000,1.000183105
0.009300000,1.000000000,1.000183105
0.009400000,1.000000000,1.000183105
0.009500000,1.000000000,1.000183105
0.009600000,1.000000000,1.000183105
0.009700000,1.000000000,1.000183105
0.009800000,1.000000000,1.000183105
0.009900000,1.000000000,1.000183105
0.010000000,1.000000000,1.000183105
0.010100000,1.000000000,1.000183105
0.010200000,1.000000000,1.000183105
0.010300000,1.000000000,1.000183105
0.010400000,1.000000000,1.000183105
0.010500000,1.000000000,1.000183105
0.010600000,1.000000000,1.000183105
0.010700000,1.000000000,1.000183105
0.010800000,1.000000000,1.000183105
0.010900000,1.000000000,1.000183105
0.011000000,1.000000000,1.000183105
0.011100000,1.000000000,1.000183105
0.011200000,1.000000000,1.000183105
0.011300000,1.000000000,1.000183105
0.011400000,1.000000000,1.000183105
0.011500000,1.000000000,1.000183105
0.011600000,1.000000000,1.000183105
0.011700000,1.000000000,1.000183105
0.011800000,1.000000000,1.000183105
0.011900000,1.000000000,1.000183105
0.012000000,1.000000000,1.000183105
0.012100000,1.000000000,1.000183105
0.012200000,1.000000000,1.000183105
0.012300000,1.000000000,1.000183105
0.012400000,1.000000000,1.000183105
0.012500000,1.000000000,1.000183105
0.012600000,1.000000000,1.000183105
0.012700000,1.000000000,1.000183105
0.012800000,1.000000000,1.000183105
0.012900000,1.000000000,1.000183105
0.013000000,1.000000000,1.000183105
0.013100000,1.000000000,1.000183105
0.013200000,1.000000000,1.000183105
0.013300000,1.000000000,1.000183105
