samples,elapsed_ns,ns_per_sample,time,input,output
200000,13265888,66.329,19.999900,-0.050232,-0.158875
200000,13066048,65.330,19.999900,-0.050232,-0.158875
200000,13058896,65.294,19.999900,-0.050232,-0.158875
200000,13058896,65.294,19.999900,-0.050232,-0.158875
200000,13059520,65.298,19.999900,-0.050232,-0.158875
200000,13079536,65.398,19.999900,-0.050232,-0.158875
200000,13066320,65.332,19.999900,-0.050232,-0.158875
200000,29003408,145.017,19.999900,-0.050232,-0.158875
200000,13058944,65.295,19.999900,-0.050232,-0.158875
200000,13058960,65.295,19.999900,-0.050232,-0.158875
median,13062784.0,65.314,,,
