samples,elapsed_ns,ns_per_sample,time,input,output
200000,2850112,14.251,19.999900,-0.050232,-0.158875
200000,2856400,14.282,19.999900,-0.050232,-0.158875
200000,2856384,14.282,19.999900,-0.050232,-0.158875
200000,3919744,19.599,19.999900,-0.050232,-0.158875
200000,2857072,14.285,19.999900,-0.050232,-0.158875
200000,6352304,31.762,19.999900,-0.050232,-0.158875
200000,2901328,14.507,19.999900,-0.050232,-0.158875
200000,2856368,14.282,19.999900,-0.050232,-0.158875
200000,2856352,14.282,19.999900,-0.050232,-0.158875
200000,2850128,14.251,19.999900,-0.050232,-0.158875
median,2856392.0,14.282,,,
