samples,elapsed_ns,ns_per_sample,time,input,output
200000,3050128,15.251,19.999900,-0.050232,-0.158875
200000,3050128,15.251,19.999900,-0.050232,-0.158875
200000,3068720,15.344,19.999900,-0.050232,-0.158875
200000,3610576,18.053,19.999900,-0.050232,-0.158875
200000,3056368,15.282,19.999900,-0.050232,-0.158875
200000,7186608,35.933,19.999900,-0.050232,-0.158875
200000,3071792,15.359,19.999900,-0.050232,-0.158875
200000,3056384,15.282,19.999900,-0.050232,-0.158875
200000,3056928,15.285,19.999900,-0.050232,-0.158875
200000,3050128,15.251,19.999900,-0.050232,-0.158875
median,3056656.0,15.284,,,
