samples,elapsed_ns,ns_per_sample,time,input,output
200000,13169008,65.845,19.999900,-0.050232,-0.158875
200000,12740032,63.700,19.999900,-0.050232,-0.158875
200000,12648448,63.242,19.999900,-0.050232,-0.158875
200000,12624992,63.125,19.999900,-0.050232,-0.158875
200000,12641104,63.206,19.999900,-0.050232,-0.158875
200000,12623920,63.120,19.999900,-0.050232,-0.158875
200000,15692192,78.461,19.999900,-0.050232,-0.158875
200000,12618960,63.095,19.999900,-0.050232,-0.158875
200000,12618896,63.094,19.999900,-0.050232,-0.158875
200000,12618880,63.094,19.999900,-0.050232,-0.158875
median,12633048.0,63.166,,,
