samples,elapsed_ns,ns_per_sample,time,input,output
200000,18137456,90.687,19.999900,-0.050232,-0.158875
200000,16277200,81.386,19.999900,-0.050232,-0.158875
200000,16396512,81.983,19.999900,-0.050232,-0.158875
200000,16284064,81.420,19.999900,-0.050232,-0.158875
200000,16275264,81.376,19.999900,-0.050232,-0.158875
200000,16275264,81.376,19.999900,-0.050232,-0.158875
200000,16282224,81.411,19.999900,-0.050232,-0.158875
200000,16277216,81.386,19.999900,-0.050232,-0.158875
200000,16307792,81.539,19.999900,-0.050232,-0.158875
200000,28892176,144.461,19.999900,-0.050232,-0.158875
median,16283144.0,81.416,,,
