frequency_hz,floating_magnitude_db,fixed_magnitude_db,fixed_minus_floating_db
100.0,-0.00019107815297889067,-0.00059761,-0.0004065318470211094
500.0,-0.23845148894171042,-0.239642537,-0.0011910480582895677
1000.0,-3.010433352696755,-3.012369819,-0.0019364663032450657
2000.0,-14.149825443819172,-14.152183621,-0.002358177180829202
4000.0,-39.05847656325415,-39.065673832,-0.007197268745848362
