samples,elapsed_ns,ns_per_sample,time,input,output
200000,15989968,79.950,19.999900,-0.050232,-0.158875
200000,15406176,77.031,19.999900,-0.050232,-0.158875
200000,15392544,76.963,19.999900,-0.050232,-0.158875
200000,15397456,76.987,19.999900,-0.050232,-0.158875
200000,15431504,77.158,19.999900,-0.050232,-0.158875
200000,15397488,76.987,19.999900,-0.050232,-0.158875
200000,15399392,76.997,19.999900,-0.050232,-0.158875
200000,15397440,76.987,19.999900,-0.050232,-0.158875
200000,15398128,76.991,19.999900,-0.050232,-0.158875
200000,15413808,77.069,19.999900,-0.050232,-0.158875
median,15398760.0,76.994,,,
