samples,elapsed_ns,ns_per_sample,time,input,output
200000,2806384,14.032,19.999900,-0.050232,-0.158875
200000,2806368,14.032,19.999900,-0.050232,-0.158875
200000,6810112,34.051,19.999900,-0.050232,-0.158875
200000,2806384,14.032,19.999900,-0.050232,-0.158875
200000,2800128,14.001,19.999900,-0.050232,-0.158875
200000,2800128,14.001,19.999900,-0.050232,-0.158875
200000,2806336,14.032,19.999900,-0.050232,-0.158875
200000,2806336,14.032,19.999900,-0.050232,-0.158875
200000,2800112,14.001,19.999900,-0.050232,-0.158875
200000,2854896,14.274,19.999900,-0.050232,-0.158875
median,2806352.0,14.032,,,
