samples,elapsed_ns,ns_per_sample,time,input,output
200000,3007056,15.035,19.999900,-0.050232,-0.158875
200000,3006400,15.032,19.999900,-0.050232,-0.158875
200000,3006368,15.032,19.999900,-0.050232,-0.158875
200000,3812528,19.063,19.999900,-0.050232,-0.158875
200000,6792976,33.965,19.999900,-0.050232,-0.158875
200000,7750736,38.754,19.999900,-0.050232,-0.158875
200000,3006384,15.032,19.999900,-0.050232,-0.158875
200000,3006384,15.032,19.999900,-0.050232,-0.158875
200000,3000128,15.001,19.999900,-0.050232,-0.158875
200000,3006352,15.032,19.999900,-0.050232,-0.158875
median,3006392.0,15.032,,,
