samples,elapsed_ns,ns_per_sample,time,input,output
200000,2666400,13.332,19.999900,-0.050232,-0.158875
200000,2666368,13.332,19.999900,-0.050232,-0.158875
200000,2666368,13.332,19.999900,-0.050232,-0.158875
200000,3480720,17.404,19.999900,-0.050232,-0.158875
200000,2660128,13.301,19.999900,-0.050232,-0.158875
200000,2666368,13.332,19.999900,-0.050232,-0.158875
200000,2666368,13.332,19.999900,-0.050232,-0.158875
200000,2660128,13.301,19.999900,-0.050232,-0.158875
200000,2666384,13.332,19.999900,-0.050232,-0.158875
200000,2666992,13.335,19.999900,-0.050232,-0.158875
median,2666368.0,13.332,,,
