samples,elapsed_ns,ns_per_sample,time,input,output
200000,44004896,220.024,19.999900,-0.050232,-0.158875
200000,19972112,99.861,19.999900,-0.050232,-0.158875
200000,20028544,100.143,19.999900,-0.050232,-0.158875
200000,19972032,99.860,19.999900,-0.050232,-0.158875
200000,19972000,99.860,19.999900,-0.050232,-0.158875
200000,19972000,99.860,19.999900,-0.050232,-0.158875
200000,19991984,99.960,19.999900,-0.050232,-0.158875
200000,19971360,99.857,19.999900,-0.050232,-0.158875
200000,20164224,100.821,19.999900,-0.050232,-0.158875
200000,19971536,99.858,19.999900,-0.050232,-0.158875
median,19972072.0,99.861,,,
