samples,elapsed_ns,ns_per_sample,time,input,output
200000,2856368,14.282,19.999900,-0.050232,-0.158875
200000,3140848,15.704,19.999900,-0.050232,-0.158875
200000,2856368,14.282,19.999900,-0.050232,-0.158875
200000,2850128,14.251,19.999900,-0.050232,-0.158875
200000,2857024,14.285,19.999900,-0.050232,-0.158875
200000,2856368,14.282,19.999900,-0.050232,-0.158875
200000,2850128,14.251,19.999900,-0.050232,-0.158875
200000,2856368,14.282,19.999900,-0.050232,-0.158875
200000,2856368,14.282,19.999900,-0.050232,-0.158875
200000,2857024,14.285,19.999900,-0.050232,-0.158875
median,2856368.0,14.282,,,
